Fruit,Alternative Product,Market,Shop,Location,Profitability Score,Quality Rating
Soursop,Essential Oil,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.1,C
Orange,Marmalade,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.5,B
Lychee,Pickles,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.0,B
Watermelon,Canned Fruit,Badulla Market,Hill Country Fresh,Badulla,8.6,C
Grapes,Freeze-Dried Fruit,Puttalam Market,Northwest Fruits,Puttalam,7.8,B
Soursop,Chutney,Kandy Central Market,Highland Fruit Mart,Kandy,9.6,B
Watermelon,Fruit Puree,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.6,C
Woodapple,Fruit Pizza,Matara Market,Matara Fruit Bazaar,Matara,9.3,C
Blueberry,Canned Fruit Cocktail,Kandy Central Market,Highland Fruit Mart,Kandy,10.0,A
Plum,Fruit Butter,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.9,C
Guava,Fruit Salad Mix,Kandy Central Market,Highland Fruit Mart,Kandy,9.9,B
Custard Apple,Syrup,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.2,A
Woodapple,Freeze-Dried Fruit,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.8,A
Soursop,Pickles,Galle Fruit Market,Southern Agro Supplies,Galle,8.9,A
Pomegranate,Fruit-Filled Pastries,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.7,B
Kiwi,Vinegar,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.4,C
Strawberry,Fruit-Based Dietary Supplements,Galle Fruit Market,Southern Agro Supplies,Galle,8.9,A
Avocado,Chutney,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.9,C
Lemon,Frozen Dessert,Puttalam Market,Northwest Fruits,Puttalam,9.1,C
Soursop,Powdered Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,8.4,A
Watermelon,Fruit Topping,Matara Market,Matara Fruit Bazaar,Matara,9.4,C
Lychee,Fruit Bars,Ratnapura Market,Gemland Fruits,Ratnapura,8.5,B
Papaya,Jelly,Jaffna Market,Northern Fresh Fruits,Jaffna,8.2,A
Blueberry,Dried Fruit,Puttalam Market,Northwest Fruits,Puttalam,7.8,C
Strawberry,Jam,Puttalam Market,Northwest Fruits,Puttalam,8.0,B
Mangosteen,Fruit-Flavored Tea,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.8,C
Kiwi,Frozen Dessert,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.9,C
Watermelon,Fruit Topping,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.7,C
Kiwi,Syrup,Kandy Central Market,Highland Fruit Mart,Kandy,9.2,B
Mango,Fruit-Based Dietary Supplements,Badulla Market,Hill Country Fresh,Badulla,8.5,A
Soursop,Juice,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.7,A
Kiwi,Compote,Kandy Central Market,Highland Fruit Mart,Kandy,8.9,B
Woodapple,Fruit Leather,Matara Market,Matara Fruit Bazaar,Matara,9.2,A
Soursop,Wine,Puttalam Market,Northwest Fruits,Puttalam,9.2,A
Ambarella,Pulp,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.5,B
Avocado,Fruit Salad Mix,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.9,A
Pineapple,Fruit Extract,Jaffna Market,Northern Fresh Fruits,Jaffna,9.7,C
Strawberry,Flavored Yogurt,Kandy Central Market,Highland Fruit Mart,Kandy,9.2,B
Strawberry,Syrup,Ratnapura Market,Gemland Fruits,Ratnapura,8.3,A
Pear,Wine,Badulla Market,Hill Country Fresh,Badulla,9.8,C
Kiwi,Fruit Butter,Kandy Central Market,Highland Fruit Mart,Kandy,9.9,A
Pomegranate,Frozen Dessert,Matara Market,Matara Fruit Bazaar,Matara,10.0,B
Rambutan,Fruit Candy,Puttalam Market,Northwest Fruits,Puttalam,7.7,A
Lychee,Compote,Jaffna Market,Northern Fresh Fruits,Jaffna,8.1,B
Pear,Fruit Candy,Ratnapura Market,Gemland Fruits,Ratnapura,10.0,B
Kiwi,Fruit Salad Mix,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.6,B
Kiwi,Fruit Puree,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.6,C
Peach,Freeze-Dried Fruit,Kandy Central Market,Highland Fruit Mart,Kandy,9.8,B
Mangosteen,Compote,Puttalam Market,Northwest Fruits,Puttalam,8.6,B
Coconut,Fruit Puree,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.8,A
Cherry,Dried Fruit,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.0,C
Beli,Fermented Drink,Negombo Fish Market,Negombo Fresh Supplies,Negombo,10.0,B
Beli,Fruit Salsa,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.3,B
Papaya,Fruit Topping,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.3,B
Cherry,Marmalade,Trincomalee Market,Eastern Fresh Produce,Trincomalee,10.0,A
Papaya,Frozen Dessert,Ratnapura Market,Gemland Fruits,Ratnapura,9.8,B
Grapes,Fruit Chips,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.8,B
Plum,Sauce,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,C
Peach,Jelly,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.5,B
Guava,Fruit-Filled Pastries,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.7,B
Blueberry,Fruit Butter,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.8,B
Mango,Fruit Butter,Badulla Market,Hill Country Fresh,Badulla,9.9,A
Lychee,Fruit-Filled Pastries,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.1,B
Papaya,Fruit Pizza,Badulla Market,Hill Country Fresh,Badulla,9.8,B
Peach,Fruit Candy,Matara Market,Matara Fruit Bazaar,Matara,8.7,C
Pomegranate,Smoothie Mix,Ratnapura Market,Gemland Fruits,Ratnapura,9.4,B
Soursop,Fruit Snacks,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.8,B
Lychee,Fruit-Filled Pastries,Badulla Market,Hill Country Fresh,Badulla,9.8,B
Papaya,Fruit-Infused Water,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.9,A
Avocado,Fruit Puree,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.7,A
Cherry,Fermented Drink,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.5,A
Pomegranate,Pulp,Puttalam Market,Northwest Fruits,Puttalam,8.8,B
Blueberry,Fermented Drink,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.1,A
Avocado,Essential Oil,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.8,A
Beli,Fruit-Filled Pastries,Matara Market,Matara Fruit Bazaar,Matara,10.0,C
Avocado,Fruit-Flavored Tea,Badulla Market,Hill Country Fresh,Badulla,9.0,B
Coconut,Pulp,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.3,A
Peach,Fruit Topping,Matara Market,Matara Fruit Bazaar,Matara,9.5,C
Lychee,Chutney,Kandy Central Market,Highland Fruit Mart,Kandy,8.5,C
Strawberry,Fruit Butter,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.4,B
Mangosteen,Fruit Pizza,Jaffna Market,Northern Fresh Fruits,Jaffna,7.5,A
Pear,Fruit-Based Dietary Supplements,Matara Market,Matara Fruit Bazaar,Matara,7.9,B
Grapes,Frozen Dessert,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.6,A
Cherry,Fruit Topping,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,B
Blueberry,Smoothie Mix,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,A
Mangosteen,Jam,Matara Market,Matara Fruit Bazaar,Matara,8.3,B
Orange,Fruit Candy,Jaffna Market,Northern Fresh Fruits,Jaffna,9.1,B
Rambutan,Jelly,Galle Fruit Market,Southern Agro Supplies,Galle,9.0,A
Soursop,Syrup,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.1,A
Pomegranate,Fruit Vinegar,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.5,C
Peach,Fermented Drink,Ratnapura Market,Gemland Fruits,Ratnapura,9.4,C
Soursop,Preserves,Ratnapura Market,Gemland Fruits,Ratnapura,9.0,B
Pineapple,Fruit Candy,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.7,A
Beli,Chutney,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.3,C
Woodapple,Essential Oil,Ratnapura Market,Gemland Fruits,Ratnapura,9.4,C
Papaya,Fruit Candy,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.9,C
Pear,Smoothie Mix,Badulla Market,Hill Country Fresh,Badulla,7.6,C
Apple,Smoothie Mix,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.0,C
Grapes,Pulp,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.8,A
Rambutan,Frozen Dessert,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.7,B
Watermelon,Dried Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,9.0,B
Guava,Pickles,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.9,C
Kiwi,Marmalade,Matara Market,Matara Fruit Bazaar,Matara,8.3,C
Lemon,Pulp,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.7,C
Pineapple,Nectar,Galle Fruit Market,Southern Agro Supplies,Galle,8.0,B
Rambutan,Fruit Salsa,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.3,B
Mango,Sauce,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.1,B
Banana,Preserves,Puttalam Market,Northwest Fruits,Puttalam,9.3,B
Strawberry,Pulp,Ratnapura Market,Gemland Fruits,Ratnapura,8.1,C
Pomegranate,Freeze-Dried Fruit,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.2,A
Papaya,Canned Fruit Cocktail,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.1,B
Guava,Marmalade,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.4,A
Beli,Fruit Leather,Jaffna Market,Northern Fresh Fruits,Jaffna,8.0,A
Cherry,Nectar,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.6,A
Woodapple,Fruit Leather,Kandy Central Market,Highland Fruit Mart,Kandy,7.8,B
Papaya,Fruit Candy,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.1,A
Watermelon,Fruit-Filled Pastries,Puttalam Market,Northwest Fruits,Puttalam,9.6,C
Custard Apple,Fruit Extract,Galle Fruit Market,Southern Agro Supplies,Galle,8.7,C
Ambarella,Essential Oil,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,A
Strawberry,Fruit-Based Dietary Supplements,Galle Fruit Market,Southern Agro Supplies,Galle,8.6,B
Lychee,Flavored Yogurt,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.4,C
Pear,Frozen Dessert,Matara Market,Matara Fruit Bazaar,Matara,8.3,A
Blueberry,Fruit Candy,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.2,C
Apple,Fruit Extract,Jaffna Market,Northern Fresh Fruits,Jaffna,8.9,A
Kiwi,Essential Oil,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.5,C
Watermelon,Fruit Topping,Matara Market,Matara Fruit Bazaar,Matara,7.8,A
Coconut,Jam,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.3,A
Grapes,Fruit Puree,Ratnapura Market,Gemland Fruits,Ratnapura,9.0,A
Peach,Fruit-Infused Water,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.7,C
Pineapple,Pickles,Puttalam Market,Northwest Fruits,Puttalam,9.4,B
Strawberry,Pulp,Galle Fruit Market,Southern Agro Supplies,Galle,8.3,B
Kiwi,Fruit Leather,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.9,C
Grapes,Nectar,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.4,B
Orange,Wine,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.9,C
Pomegranate,Fruit Snacks,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.5,B
Soursop,Fruit Salsa,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.8,C
Soursop,Canned Fruit Cocktail,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.8,A
Plum,Fruit Concentrate,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.4,B
Grapes,Fruit Bars,Badulla Market,Hill Country Fresh,Badulla,8.7,C
Beli,Dried Fruit,Galle Fruit Market,Southern Agro Supplies,Galle,8.0,A
Beli,Nectar,Ratnapura Market,Gemland Fruits,Ratnapura,9.5,A
Watermelon,Fruit Topping,Badulla Market,Hill Country Fresh,Badulla,8.4,B
Rambutan,Fruit Puree,Badulla Market,Hill Country Fresh,Badulla,7.9,C
Ambarella,Compote,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.4,B
Avocado,Fruit Candy,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.5,B
Mango,Fruit-Infused Water,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.7,A
Peach,Smoothie Mix,Galle Fruit Market,Southern Agro Supplies,Galle,9.4,B
Kiwi,Frozen Dessert,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.9,A
Coconut,Pulp,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.1,B
Kiwi,Fruit Leather,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.8,B
Coconut,Preserves,Jaffna Market,Northern Fresh Fruits,Jaffna,8.4,B
Pear,Essential Oil,Badulla Market,Hill Country Fresh,Badulla,9.8,B
Rambutan,Essential Oil,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.9,A
Peach,Fruit-Infused Water,Kandy Central Market,Highland Fruit Mart,Kandy,9.5,A
Mangosteen,Flavored Yogurt,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.3,C
Pear,Jelly,Kandy Central Market,Highland Fruit Mart,Kandy,8.9,C
Pineapple,Fruit Leather,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.9,B
Coconut,Fruit-Based Dietary Supplements,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.7,B
Jackfruit,Flavored Yogurt,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.7,B
Avocado,Fruit-Infused Water,Kandy Central Market,Highland Fruit Mart,Kandy,7.8,B
Soursop,Juice,Jaffna Market,Northern Fresh Fruits,Jaffna,7.9,B
Orange,Juice,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.1,A
Avocado,Fermented Drink,Jaffna Market,Northern Fresh Fruits,Jaffna,9.0,C
Lychee,Essential Oil,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.5,A
Guava,Fruit Salsa,Kandy Central Market,Highland Fruit Mart,Kandy,9.5,A
Rambutan,Fruit Salad Mix,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.2,C
Apple,Fruit Butter,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.0,A
Watermelon,Fruit Puree,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,A
Peach,Fruit Leather,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.3,A
Rambutan,Canned Fruit,Matara Market,Matara Fruit Bazaar,Matara,9.5,C
Coconut,Essential Oil,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.9,C
Woodapple,Pickles,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.5,B
Strawberry,Wine,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.8,B
Ambarella,Fruit Candy,Matara Market,Matara Fruit Bazaar,Matara,10.0,C
Papaya,Fruit Salad Mix,Galle Fruit Market,Southern Agro Supplies,Galle,10.0,A
Avocado,Fruit Snacks,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,A
Rambutan,Freeze-Dried Fruit,Galle Fruit Market,Southern Agro Supplies,Galle,7.6,B
Mangosteen,Wine,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.2,A
Banana,Juice,Ratnapura Market,Gemland Fruits,Ratnapura,8.1,A
Strawberry,Fruit Butter,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.2,C
Durian,Powdered Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,8.5,A
Mango,Nectar,Galle Fruit Market,Southern Agro Supplies,Galle,8.9,B
Pineapple,Frozen Dessert,Kandy Central Market,Highland Fruit Mart,Kandy,8.3,C
Lemon,Fruit Chips,Matara Market,Matara Fruit Bazaar,Matara,9.1,A
Plum,Fruit Concentrate,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.9,A
Watermelon,Dried Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.9,C
Strawberry,Fruit-Flavored Tea,Galle Fruit Market,Southern Agro Supplies,Galle,9.0,B
Orange,Fruit Snacks,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.9,A
Peach,Jam,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.0,B
Jackfruit,Compote,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.1,C
Pomegranate,Essential Oil,Kandy Central Market,Highland Fruit Mart,Kandy,8.9,B
Ambarella,Fruit Butter,Badulla Market,Hill Country Fresh,Badulla,7.9,C
Coconut,Compote,Puttalam Market,Northwest Fruits,Puttalam,9.2,B
Beli,Pickles,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.6,A
Orange,Wine,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.9,A
Woodapple,Chutney,Puttalam Market,Northwest Fruits,Puttalam,8.9,C
Papaya,Freeze-Dried Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,9.0,B
Guava,Fruit Candy,Matara Market,Matara Fruit Bazaar,Matara,8.0,A
Rambutan,Fruit Concentrate,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.2,B
Orange,Fruit Topping,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.9,A
Beli,Juice,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.3,B
Grapes,Fruit-Filled Pastries,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.5,A
Apple,Wine,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.4,C
Lychee,Fruit-Based Dietary Supplements,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.3,B
Ambarella,Fruit Extract,Ratnapura Market,Gemland Fruits,Ratnapura,7.6,C
Custard Apple,Fruit-Flavored Tea,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.8,A
Kiwi,Fruit Extract,Badulla Market,Hill Country Fresh,Badulla,8.0,A
Blueberry,Sauce,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.1,A
Apple,Canned Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,A
Watermelon,Marmalade,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.7,A
Watermelon,Marmalade,Kandy Central Market,Highland Fruit Mart,Kandy,7.7,B
Pear,Fruit-Based Dietary Supplements,Kandy Central Market,Highland Fruit Mart,Kandy,9.8,C
Pear,Powdered Fruit,Matara Market,Matara Fruit Bazaar,Matara,8.4,A
Coconut,Canned Fruit Cocktail,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.0,A
Guava,Fruit Pizza,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.0,C
Orange,Wine,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.4,A
Rambutan,Canned Fruit,Badulla Market,Hill Country Fresh,Badulla,8.0,A
Beli,Marmalade,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,10.0,C
Papaya,Canned Fruit Cocktail,Badulla Market,Hill Country Fresh,Badulla,8.3,C
Avocado,Fruit Butter,Matara Market,Matara Fruit Bazaar,Matara,8.7,C
Guava,Pickles,Kandy Central Market,Highland Fruit Mart,Kandy,8.5,B
Plum,Fruit-Based Dietary Supplements,Ratnapura Market,Gemland Fruits,Ratnapura,9.4,A
Pineapple,Sauce,Negombo Fish Market,Negombo Fresh Supplies,Negombo,10.0,C
Plum,Pulp,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.1,C
Apple,Fruit Pizza,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.7,B
Pear,Syrup,Ratnapura Market,Gemland Fruits,Ratnapura,7.5,C
Strawberry,Dried Fruit,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.3,A
Pear,Jelly,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.6,B
Woodapple,Fruit-Infused Water,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.9,B
Custard Apple,Wine,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.1,C
Ambarella,Fruit Bars,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.7,C
Beli,Chutney,Kandy Central Market,Highland Fruit Mart,Kandy,8.4,C
Jackfruit,Fruit Extract,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.9,B
Jackfruit,Fruit-Filled Pastries,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.3,B
Mango,Marmalade,Matara Market,Matara Fruit Bazaar,Matara,7.7,A
Kiwi,Compote,Matara Market,Matara Fruit Bazaar,Matara,7.5,C
Strawberry,Wine,Jaffna Market,Northern Fresh Fruits,Jaffna,7.6,C
Lemon,Fruit Concentrate,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.5,C
Mangosteen,Pickles,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.7,A
Rambutan,Fruit Salad Mix,Jaffna Market,Northern Fresh Fruits,Jaffna,8.5,A
Apple,Fruit Leather,Jaffna Market,Northern Fresh Fruits,Jaffna,8.5,A
Custard Apple,Jelly,Badulla Market,Hill Country Fresh,Badulla,7.5,A
Apple,Fruit Extract,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.8,B
Banana,Powdered Fruit,Matara Market,Matara Fruit Bazaar,Matara,8.2,B
Coconut,Fruit Salsa,Galle Fruit Market,Southern Agro Supplies,Galle,9.9,B
Peach,Preserves,Kandy Central Market,Highland Fruit Mart,Kandy,7.9,A
Banana,Fermented Drink,Jaffna Market,Northern Fresh Fruits,Jaffna,9.7,C
Beli,Fruit-Flavored Tea,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,B
Apple,Frozen Dessert,Badulla Market,Hill Country Fresh,Badulla,9.2,C
Lemon,Dried Fruit,Matara Market,Matara Fruit Bazaar,Matara,8.2,B
Pineapple,Chutney,Galle Fruit Market,Southern Agro Supplies,Galle,9.3,C
Papaya,Fruit Bars,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.6,C
Woodapple,Chutney,Galle Fruit Market,Southern Agro Supplies,Galle,7.7,C
Beli,Chutney,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.8,A
Blueberry,Fruit-Based Dietary Supplements,Kandy Central Market,Highland Fruit Mart,Kandy,7.6,C
Jackfruit,Juice,Kandy Central Market,Highland Fruit Mart,Kandy,8.6,A
Plum,Smoothie Mix,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.4,B
Lemon,Pulp,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.1,C
Mangosteen,Fruit Chips,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.3,C
Plum,Powdered Fruit,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.2,B
Grapes,Fermented Drink,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.7,C
Lychee,Fruit Salsa,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.7,B
Pineapple,Fruit Vinegar,Badulla Market,Hill Country Fresh,Badulla,9.1,A
